UniProt	SwissProt	Chembl	Annotation
KC1G2_HUMAN	P78368	CHEMBL2543	Casein Kinase I Gamma 2, Human
KC1G3_HUMAN	Q9Y6M4	CHEMBL5084	Casein Kinase I Isoform Gamma-3, Human
KCAB1_HUMAN	Q14722	CHEMBL5884	Voltage-gated Potassium Channel Subunit Beta-1, Human
KCC1A_HUMAN	Q14012	CHEMBL2493	CaM Kinase I Alpha, Human
KCC1D_HUMAN	Q8IU85	CHEMBL5073	CaM Kinase I Delta, Human
KCC1G_HUMAN	Q96NX5	CHEMBL5258	CaM Kinase I Gamma, Human
KCC2A_HUMAN	Q9UQM7	CHEMBL4147	CaM Kinase II Alpha, Human
KCC2A_MOUSE	P11798	CHEMBL3347	CaM Kinase II Alpha, Mouse
KCC2A_RAT	P11275	CHEMBL2359	CaM Kinase II Alpha, Rat
KCC2B_HUMAN	Q13554	CHEMBL4121	CaM Kinase II Beta, Human
KCC2B_MOUSE	P28652	CHEMBL4735	CaM Kinase II Beta, Mouse
KCC2B_RAT	P08413	CHEMBL2610	CaM Kinase II Beta, Rat
KCC2D_HUMAN	Q13557	CHEMBL2801	CaM Kinase II Delta, Human
KCC2D_RAT	P15791	CHEMBL4987	CaM Kinase II Delta, Rat
KCC2G_HUMAN	Q13555	CHEMBL3829	CaM Kinase II Gamma, Human
KCC2G_MOUSE	Q923T9	CHEMBL4456	CaM Kinase II Gamma, Mouse
KCC2G_RAT	P11730	CHEMBL5109	CaM Kinase II Gamma, Rat
KCC4_HUMAN	Q16566	CHEMBL2494	CaM Kinase IV, Human
KCMA1_HUMAN	Q12791	CHEMBL4304	Large Conductance Calcium-activated Potassium Channel Subfamily M Alpha Member 1 Isoform B, Human
KCMA1_RAT	Q62976	CHEMBL5505	Calcium-activated Potassium Channel Subunit Alpha-1, Rat
KCNA1_HUMAN	Q09470	CHEMBL2309	Voltage-gated Potassium Channel Subunit Kv1.1, Human
KCNA2_HUMAN	P16389	CHEMBL2086	Voltage-gated Potassium Channel Subunit Kv1.2, Human
KCNA3_HUMAN	P22001	CHEMBL4633	Voltage-gated Potassium Channel Subunit Kv1.3, Human
KCNA4_HUMAN	P22459	CHEMBL4205	Voltage-gated Potassium Channel Subunit Kv1.4, Human
KCNA5_HUMAN	P22460	CHEMBL4306	Voltage-gated Potassium Channel Subunit Kv1.5, Human
KCNA7_HUMAN	Q96RP8	CHEMBL2773	Voltage-gated Potassium Channel Subunit Kv1.7, Human
KCNB1_RAT	P15387	CHEMBL1075226	Potassium Voltage-gated Channel Subfamily B Member 1, Rat
KCND2_RAT	Q63881	CHEMBL1075227	Potassium Voltage-gated Channel Subfamily D Member 2, Rat
KCND3_HUMAN	Q9UK17	CHEMBL1964	Voltage-gated Potassium Channel Subunit Kv4.3, Human
KCNE1_HUMAN	P15382	CHEMBL4872	Voltage-gated Potassium Channel Beta Subunit Mink, Human
KCNH1_HUMAN	O95259	CHEMBL3841	Voltage-gated Potassium Channel Subunit Kv10.1, Human
KCNH2_CAVPO	O08703	CHEMBL5557	Potassium Voltage-gated Channel Subfamily H Member 2, Guinea Pig
KCNH2_HUMAN	Q12809	CHEMBL240	HERG, Human
KCNN1_HUMAN	Q92952	CHEMBL2369	Small Conductance Calcium-activated Potassium Channel Protein 1, Human
KCNN1_RAT	P70606	CHEMBL3743	Small Conductance Calcium-activated Potassium Channel Protein 1, Rat
KCNN2_HUMAN	Q9H2S1	CHEMBL4469	Small Conductance Calcium-activated Potassium Channel Protein 2, Human
KCNN2_RAT	P70604	CHEMBL2547	Small Conductance Calcium-activated Potassium Channel Protein 2, Rat
KCNN3_HUMAN	Q9UGI6	CHEMBL3381	Small Conductance Calcium-activated Potassium Channel Protein 3, Human
KCNN3_RAT	P70605	CHEMBL3780	Small Conductance Calcium-activated Potassium Channel Protein 3, Rat
KCNN4_HUMAN	O15554	CHEMBL4305	Intermediate Conductance Calcium-activated Potassium Channel Protein 4, Human
KCNN4_RAT	Q9QYW1	CHEMBL3639	Intermediate Conductance Calcium-activated Potassium Channel Protein 4, Rat
KCNQ1_CAVPO	O70344	CHEMBL5135	Voltage-gated Potassium Channel Subunit Kv7.1, Guinea Pig
KCNQ1_HUMAN	P51787	CHEMBL1866	Voltage-gated Potassium Channel Subunit Kv7.1, Human
KCNQ2_HUMAN	O43526	CHEMBL2476	Voltage-gated Potassium Channel Subunit Kv7.2, Human
KCNQ3_HUMAN	O43525	CHEMBL2684	Voltage-gated Potassium Channel Subunit Kv7.3, Human
KD4DL_HUMAN	B2RXH2	CHEMBL1293226	Lysine-specific Demethylase 4D-like, Human
KDM1A_HUMAN	O60341	CHEMBL6136	Lysine-specific Histone Demethylase 1, Human
KDM4A_HUMAN	O75164	CHEMBL5896	Lysine-specific Demethylase 4A, Human
KDM4C_HUMAN	Q9H3R0	CHEMBL6175	Lysine-specific Demethylase 4C, Human
KGP1_BOVIN	P00516	CHEMBL3183	CGMP-dependent Protein Kinase 1 Alpha, Bovin
KGP1_HUMAN	Q13976	CHEMBL4273	CGMP-dependent Protein Kinase 1 Beta, Human
KGP2_HUMAN	Q13237	CHEMBL2896	CGMP-dependent Protein Kinase 2, Human
KHDR1_HUMAN	Q07666	CHEMBL1795190	KH Domain-containing, RNA-binding, Signal Transduction-associated Protein 1, Human
KHK_HUMAN	P50053	CHEMBL1275212	Ketohexokinase, Human
KIF11_HUMAN	P52732	CHEMBL4581	Kinesin-like Protein 1, Human
KINA_BACSU	P16497	CHEMBL3889	Sporulation Kinase A, Bacsu
KISSR_HUMAN	Q969F8	CHEMBL5413	Metastin Receptor, Human
KISSR_RAT	Q924U1	CHEMBL1169599	KiSS-1 Receptor, Rat
KITH_HHV1	Q9QNF7	CHEMBL1795127	Thymidine Kinase, Hhv1
KITH_HHV1S	P06479	CHEMBL1820	Thymidine Kinase, Hhv1s
KITH_HUMAN	P04183	CHEMBL2883	Thymidine Kinase, Cytosolic, Human
KITH_RAT	P27158	CHEMBL4022	Thymidine Kinase, Rat
KITH_VZVD	P09250	CHEMBL4784	Thymidine Kinase, Vzvd
KITM_HUMAN	O00142	CHEMBL4580	Thymidine Kinase, Mitochondrial, Human
KIT_HUMAN	P10721	CHEMBL1936	Stem Cell Growth Factor Receptor, Human
KKCC1_HUMAN	Q8N5S9	CHEMBL5256	CaM-kinase Kinase Alpha, Human
KKCC2_HUMAN	Q96RR4	CHEMBL5284	CaM-kinase Kinase Beta, Human
KLK10_HUMAN	O43240	CHEMBL4180	Kallikrein 10, Human
KLK11_HUMAN	Q9UBX7	CHEMBL3031	Kallikrein 11, Human
KLK12_HUMAN	Q9UKR0	CHEMBL4943	Kallikrein 12, Human
KLK13_HUMAN	Q9UKR3	CHEMBL4863	Kallikrein 13, Human
KLK14_HUMAN	Q9P0G3	CHEMBL2641	Kallikrein 14, Human
KLK15_HUMAN	Q9H2R5	CHEMBL2174	Kallikrein 15, Human
KLK1_HUMAN	P06870	CHEMBL2319	Kallikrein 1, Human
KLK2_HUMAN	P20151	CHEMBL2442	Kallikrein 2, Human
KLK3_HUMAN	P07288	CHEMBL2099	Prostate Specific Antigen, Human
KLK4_HUMAN	Q9Y5K2	CHEMBL4446	Kallikrein 4, Human
KLK5_HUMAN	Q9Y337	CHEMBL4447	Kallikrein 5, Human
KLK6_HUMAN	Q92876	CHEMBL4448	Kallikrein 6, Human
KLK7_HUMAN	P49862	CHEMBL2443	Kallikrein 7, Human
KLK8_HUMAN	O60259	CHEMBL4812	Kallikrein 8, Human
KLK9_HUMAN	Q9UKQ9	CHEMBL3029	Kallikrein 9, Human
KLKB1_HUMAN	P03952	CHEMBL2000	Plasma Kallikrein, Human
KMO_HUMAN	O15229	CHEMBL2145	Kynurenine 3-monooxygenase, Human
KMO_RAT	O88867	CHEMBL3457	Kynurenine 3-monooxygenase, Rat
KPB1_HUMAN	P46020	CHEMBL2905	Phosphorylase Kinase Alpha M Subunit, Human
KPB2_HUMAN	P46019	CHEMBL2906	Phosphorylase Kinase Alpha L Subunit, Human
KPBB_HUMAN	Q93100	CHEMBL3844	Phosphorylase Kinase Beta Subunit, Human
KPC1_CANAX	P43057	CHEMBL5515	Protein Kinase C-like 1, Canax
KPCA_BOVIN	P04409	CHEMBL2213	Protein Kinase C Alpha, Bovin
KPCA_HUMAN	P17252	CHEMBL299	Protein Kinase C Alpha, Human
KPCA_MOUSE	P20444	CHEMBL2567	Protein Kinase C Alpha, Mouse
KPCA_RAT	P05696	CHEMBL2855	Protein Kinase C Alpha, Rat
KPCB_HUMAN	P05771	CHEMBL3045	Protein Kinase C Beta, Human
KPCB_MOUSE	P68404	CHEMBL3042	Protein Kinase C Beta, Mouse
KPCB_RAT	P68403	CHEMBL3020	Protein Kinase C Beta, Rat
KPCD1_HUMAN	Q15139	CHEMBL3863	Protein Kinase C Mu, Human
KPCD2_HUMAN	Q9BZL6	CHEMBL4900	Serine/threonine-protein Kinase D2, Human
KPCD3_HUMAN	O94806	CHEMBL2595	Protein Kinase C Nu, Human
KPCD_HUMAN	Q05655	CHEMBL2996	Protein Kinase C Delta, Human
KPCD_MOUSE	P28867	CHEMBL2560	Protein Kinase C Delta, Mouse
KPCD_RAT	P09215	CHEMBL3633	Protein Kinase C Delta, Rat
KPCE_HUMAN	Q02156	CHEMBL3582	Protein Kinase C Epsilon, Human
KPCE_RAT	P09216	CHEMBL3424	Protein Kinase C Epsilon, Rat
KPCG_HUMAN	P05129	CHEMBL2938	Protein Kinase C Gamma, Human
KPCG_MOUSE	P63318	CHEMBL2956	Protein Kinase C Gamma, Mouse
KPCG_RAT	P63319	CHEMBL3604	Protein Kinase C Gamma, Rat
KPCI_HUMAN	P41743	CHEMBL2598	Protein Kinase C Iota, Human
KPCL_HUMAN	P24723	CHEMBL3616	Protein Kinase C Eta, Human
KPCL_MOUSE	P23298	CHEMBL4992	Protein Kinase C Eta, Mouse
KPCL_RAT	Q64617	CHEMBL3990	Protein Kinase C Eta, Rat
KPCT_HUMAN	Q04759	CHEMBL3920	Protein Kinase C Theta, Human
KPCT_MOUSE	Q02111	CHEMBL1075295	Protein Kinase C Theta Type, Mouse
KPCT_RAT	Q9WTQ0	CHEMBL4563	Protein Kinase C Theta, Rat
KPCZ_HUMAN	Q05513	CHEMBL3438	Protein Kinase C Zeta, Human
KPCZ_RAT	P09217	CHEMBL5379	Protein Kinase C Zeta, Rat
KPYM_HUMAN	P14618	CHEMBL1075189	Pyruvate Kinase Isozymes M1/M2, Human
KS6A1_HUMAN	Q15418	CHEMBL2553	Ribosomal Protein S6 Kinase Alpha 1, Human
KS6A2_HUMAN	Q15349	CHEMBL3906	Ribosomal Protein S6 Kinase Alpha 2, Human
KS6A3_HUMAN	P51812	CHEMBL2345	Ribosomal Protein S6 Kinase Alpha 3, Human
KS6A4_HUMAN	O75676	CHEMBL3125	Ribosomal Protein S6 Kinase Alpha 4, Human
KS6A5_HUMAN	O75582	CHEMBL4237	Ribosomal Protein S6 Kinase Alpha 5, Human
KS6A6_HUMAN	Q9UK32	CHEMBL4924	Ribosomal Protein S6 Kinase Alpha 6, Human
KS6B1_HUMAN	P23443	CHEMBL4501	Ribosomal Protein S6 Kinase 1, Human
KS6B2_HUMAN	Q9UBS0	CHEMBL3111	Ribosomal Protein S6 Kinase 2, Human
KSYK_HUMAN	P43405	CHEMBL2599	Tyrosine-protein Kinase SYK, Human
KSYK_RAT	Q64725	CHEMBL4364	Tyrosine-protein Kinase SYK, Rat
KTHY_HUMAN	P23919	CHEMBL4388	Thymidylate Kinase, Human
KTHY_MYCTU	O05891	CHEMBL2361	Thymidylate Kinase, Myctu
KYNU_HUMAN	Q16719	CHEMBL5100	Kynureninase, Human
KYNU_RAT	P70712	CHEMBL2969	Kynureninase, Rat
LACB_BOVIN	P02754	CHEMBL1075053	Beta-lactoglobulin, Bovin
LACTB_HUMAN	P83111	CHEMBL3791	Serine Beta-lactamase-like Protein, Human
LASR_PSEAE	P25084	CHEMBL1075207	Transcriptional Activator Protein LasR, Pseae
LAT1_RAT	Q63016	CHEMBL4149	L-type Amino Acid Transporter 1, Rat
LATS1_HUMAN	O95835	CHEMBL6167	Serine/threonine-protein Kinase LATS1, Human
LATS2_HUMAN	Q9NRM7	CHEMBL5907	Serine/threonine-protein Kinase LATS2, Human
LCAP_HUMAN	Q9UIQ6	CHEMBL2693	Cystinyl Aminopeptidase, Human
LCAP_RAT	P97629	CHEMBL3712	Cystinyl Aminopeptidase, Rat
LCK_HUMAN	P06239	CHEMBL258	Tyrosine-protein Kinase LCK, Human
LCK_MOUSE	P06240	CHEMBL2480	Tyrosine-protein Kinase LCK, Mouse
LDHA_HUMAN	P00338	CHEMBL4835	L-lactate Dehydrogenase A Chain, Human
LDHB_HUMAN	P07195	CHEMBL4940	L-lactate Dehydrogenase B Chain, Human
LDHC_HUMAN	P07864	CHEMBL4173	L-lactate Dehydrogenase C Chain, Human
LDHD_HUMAN	Q86WU2	CHEMBL2255	D-lactate Dehydrogenase, Human
LDLR_HUMAN	P01130	CHEMBL3311	LDL Receptor, Human
LEF_BACAN	P15917	CHEMBL4372	Anthrax Lethal Factor, Bacan
LEG1_HUMAN	P09382	CHEMBL4915	Galectin-1, Human
LEG3_HUMAN	P17931	CHEMBL4531	Galectin-3, Human
LEG4_HUMAN	P56470	CHEMBL1671608	Galectin-4, Human
LEG7_HUMAN	P47929	CHEMBL5008	Galectin-7, Human
LEG8_HUMAN	O00214	CHEMBL5475	Galectin-8, Human
LEG9_HUMAN	O00182	CHEMBL5474	Galectin-9, Human
LGMN_HUMAN	Q99538	CHEMBL4244	Legumain, Human
LGUL_HUMAN	Q04760	CHEMBL2424	Glyoxalase I, Human
LGUL_YEAST	P50107	CHEMBL6057	Lactoylglutathione Lyase, Yeast
LICH_HUMAN	P38571	CHEMBL4184	Lysosomal Acid Lipase/cholesteryl Ester Hydrolase, Human
LIMK1_HUMAN	P53667	CHEMBL3836	LIM Domain Kinase 1, Human
LIMK2_HUMAN	P53671	CHEMBL5932	LIM Domain Kinase 2, Human
LIPC_HUMAN	P11150	CHEMBL2127	Hepatic Lipase, Human
LIPE_HUMAN	Q9Y5X9	CHEMBL5080	Endothelial Lipase, Human
LIPL_HUMAN	P06858	CHEMBL2060	Lipoprotein Lipase, Human
LIPL_RAT	Q06000	CHEMBL5906	Lipoprotein Lipase, Rat
LIPP_PIG	P00591	CHEMBL1687677	Pancreatic Triacylglycerol Lipase, Pig
LIPS_HUMAN	Q05469	CHEMBL3590	Hormone Sensitive Lipase, Human
LIPS_RAT	P15304	CHEMBL5582	Hormone-sensitive Lipase, Rat
LKHA4_CAVPO	P19602	CHEMBL5786	Leukotriene A-4 Hydrolase, Guinea Pig
LKHA4_HUMAN	P09960	CHEMBL4618	Leukotriene A4 Hydrolase, Human
LKHA4_MOUSE	P24527	CHEMBL3738	Leukotriene A4 Hydrolase, Mouse
LKHA4_RAT	P30349	CHEMBL2400	Leukotriene A4 Hydrolase, Rat
LMBL1_HUMAN	Q9Y468	CHEMBL1287622	Lethal(3)malignant Brain Tumor-like Protein 1, Human
LMBL3_HUMAN	Q96JM7	CHEMBL1287623	Lethal(3)malignant Brain Tumor-like Protein 3, Human
LMCPB_LEIME	P36400	CHEMBL3821	Cysteine Proteinase B, Leime
LOX12_HUMAN	P18054	CHEMBL3687	Arachidonate 12-lipoxygenase, Human
LOX12_MOUSE	P39655	CHEMBL3225	Arachidonate 12-lipoxygenase, Mouse
LOX12_PIG	P16469	CHEMBL2381	Arachidonate 12-lipoxygenase, Pig
LOX15_HUMAN	P16050	CHEMBL2903	Arachidonate 15-lipoxygenase, Human
LOX15_RABIT	P12530	CHEMBL4358	Arachidonate 15-lipoxygenase, Rabit
LOX1_SOYBN	P08170	CHEMBL4586	Seed Lipoxygenase-1, Soybn
LOX5_HUMAN	P09917	CHEMBL215	Arachidonate 5-lipoxygenase, Human
LOX5_MOUSE	P48999	CHEMBL5211	Arachidonate 5-lipoxygenase, Mouse
LOX5_RAT	P12527	CHEMBL312	Arachidonate 5-lipoxygenase, Rat
LPAR1_HUMAN	Q92633	CHEMBL3819	Lysophosphatidic Acid Receptor Edg-2, Human
LPAR1_RAT	P61794	CHEMBL4595	Lysophosphatidic Acid Receptor Edg-2, Rat
LPAR2_HUMAN	Q9HBW0	CHEMBL3724	Lysophosphatidic Acid Receptor Edg-4, Human
LPAR3_HUMAN	Q9UBY5	CHEMBL3250	Lysophosphatidic Acid Receptor Edg-7, Human
LPAR3_RAT	Q8K5E0	CHEMBL4424	Lysophosphatidic Acid Receptor Edg-7, Rat
LPAR5_HUMAN	Q9H1C0	CHEMBL5700	Lysophosphatidic Acid Receptor 5, Human
LPH_RAT	Q02401	CHEMBL3389	Lactase-glycosylceramidase, Rat
LPXC_AQUAE	O67648	CHEMBL1075040	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine Deacetylase, Aquae
LPXC_ECOLI	P0A725	CHEMBL5244	UDP-3-O-acyl-GlcNAc Deacetylase, Ecoli
LPXC_PSEAE	P47205	CHEMBL3855	UDP-3-O-acyl-GlcNAc Deacetylase, Pseae
LSHR_HUMAN	P22888	CHEMBL1854	Luteinizing Hormone/Choriogonadotropin Receptor, Human
LT4R1_HUMAN	Q15722	CHEMBL3911	Leukotriene B4 Receptor 1, Human
LT4R1_MOUSE	O88855	CHEMBL2657	Leukotriene B4 Receptor 1, Mouse
LT4R2_HUMAN	Q9NPC1	CHEMBL3191	Leukotriene B4 Receptor 2, Human
LT4R2_MOUSE	Q9JJL9	CHEMBL3149	Leukotriene B4 Receptor 2, Mouse
LTK_HUMAN	P29376	CHEMBL5627	Leukocyte Tyrosine Kinase Receptor, Human
LUCI_LUCLA	Q01158	CHEMBL3701	Luciferase, Lucla
LUCI_PHOPE	Q27757	CHEMBL5150	Luciferin 4-monooxygenase, Phope
LUCI_PHOPY	P08659	CHEMBL5567	Luciferin 4-monooxygenase, Phopy
LUXN_VIBHA	P0C5S6	CHEMBL1795163	Autoinducer 1 Sensor Kinase/phosphatase LuxN, Vibha
LUXR_VIBFI	P12746	CHEMBL5351	Transcriptional Activator Protein LuxR, Vibfi
LUXS_BACSU	O34667	CHEMBL5171	S-ribosylhomocysteine Lyase, Bacsu
LUXS_ECOLI	P45578	CHEMBL3496	S-ribosylhomocysteine Lyase, Ecoli
LUXS_VIBHB	Q9Z5X1	CHEMBL4682	S-ribosylhomocysteine Lyase, Vibhb
LX12L_RAT	Q02759	CHEMBL2741	Arachidonate 12-lipoxygenase, Rat
LX15B_HUMAN	O15296	CHEMBL2457	Arachidonate 15-lipoxygenase, Type II, Human
LX15B_RAT	Q8K4F2	CHEMBL3289	Arachidonate 15-lipoxygenase, Type II, Rat
LYAG_BOVIN	Q9MYM4	CHEMBL2974	Alpha-glucosidase, Bovin
LYAG_HUMAN	P10253	CHEMBL2608	Lysosomal Alpha-glucosidase, Human
LYAG_MOUSE	P70699	CHEMBL1667668	Lysosomal Alpha-glucosidase, Mouse
LYAG_RAT	Q6P7A9	CHEMBL3513	Acidic Alpha-glucosidase, Rat
LYAM1_HUMAN	P14151	CHEMBL3161	Leukocyte Adhesion Molecule-1, Human
LYAM2_HUMAN	P16581	CHEMBL3890	Selectin E, Human
LYAM3_HUMAN	P16109	CHEMBL5378	P-selectin, Human
LYN_HUMAN	P07948	CHEMBL3905	Tyrosine-protein Kinase Lyn, Human
LYN_RAT	Q07014	CHEMBL4363	Tyrosine-protein Kinase Lyn, Rat
LYPA1_HUMAN	O75608	CHEMBL1681631	Acyl-protein Thioesterase 1, Human
LYSC1_RAT	P00697	CHEMBL2297	Lysozyme C, Rat
M3K10_HUMAN	Q02779	CHEMBL2873	Mitogen-activated Protein Kinase Kinase Kinase 10, Human
M3K11_HUMAN	Q16584	CHEMBL2708	Mitogen-activated Protein Kinase Kinase Kinase 11, Human
M3K13_HUMAN	O43283	CHEMBL1163124	Mitogen-activated Protein Kinase Kinase Kinase 13, Human
M3K14_HUMAN	Q99558	CHEMBL5888	Mitogen-activated Protein Kinase Kinase Kinase 14, Human
M3K15_HUMAN	Q6ZN16	CHEMBL1163127	Mitogen-activated Protein Kinase Kinase Kinase 15, Human
M3K1_HUMAN	Q13233	CHEMBL3956	Mitogen-activated Protein Kinase Kinase Kinase 1, Human
M3K2_HUMAN	Q9Y2U5	CHEMBL5914	Mitogen-activated Protein Kinase Kinase Kinase 2, Human
M3K3_HUMAN	Q99759	CHEMBL5970	Mitogen-activated Protein Kinase Kinase Kinase 3, Human
M3K4_HUMAN	Q9Y6R4	CHEMBL4853	Mitogen-activated Protein Kinase Kinase Kinase 4, Human
M3K5_HUMAN	Q99683	CHEMBL5285	Mitogen-activated Protein Kinase Kinase Kinase 5, Human
M3K7_HUMAN	O43318	CHEMBL5776	Mitogen-activated Protein Kinase Kinase Kinase 7, Human
M3K8_HUMAN	P41279	CHEMBL4899	Mitogen-activated Protein Kinase Kinase Kinase 8, Human
M3K9_HUMAN	P80192	CHEMBL2872	Mitogen-activated Protein Kinase Kinase Kinase 9, Human
M4K1_HUMAN	Q92918	CHEMBL5749	Mitogen-activated Protein Kinase Kinase Kinase Kinase 1, Human
M4K2_HUMAN	Q12851	CHEMBL5330	Mitogen-activated Protein Kinase Kinase Kinase Kinase 2, Human
M4K3_HUMAN	Q8IVH8	CHEMBL5432	Mitogen-activated Protein Kinase Kinase Kinase Kinase 3, Human
M4K4_HUMAN	O95819	CHEMBL6166	Mitogen-activated Protein Kinase Kinase Kinase Kinase 4, Human
M4K5_HUMAN	Q9Y4K4	CHEMBL4852	Mitogen-activated Protein Kinase Kinase Kinase Kinase 5, Human
MA122_DROME	P53625	CHEMBL1697673	Mannosyl-oligosaccharide Alpha-1,2-mannosidase Isoform B, Drome
MA1B1_HUMAN	Q9UKM7	CHEMBL2308	Endoplasmic Reticulum Mannosyl-oligosaccharide 1,2-alpha-mannosidase, Human
MA2A1_HUMAN	Q16706	CHEMBL4056	Alpha-mannosidase 2A1, Human
MA2A1_RAT	P28494	CHEMBL2257	Mannosidase 2 Alpha 1, Rat
MA2A2_HUMAN	P49641	CHEMBL2825	Alpha-mannosidase 2A2, Human
MA2B1_HUMAN	O00754	CHEMBL4059	Lysosomal Alpha-mannosidase, Human
MA2B2_HUMAN	Q9Y2E5	CHEMBL2682	Epididymis-specific Alpha-mannosidase, Human
MA2C1_RAT	P21139	CHEMBL2852	Alpha-mannosidase 2C1, Rat
MADCA_HUMAN	Q13477	CHEMBL4467	Mucosal Addressin Cell Adhesion Molecule-1, Human
MAGI3_HUMAN	Q5TCQ9	CHEMBL5212	Membrane-associated Guanylate Kinase-related 3, Human
MAG_HUMAN	P20916	CHEMBL5807	Myelin-associated Glycoprotein, Human
MAG_MOUSE	P20917	CHEMBL1250416	Myelin-associated Glycoprotein, Mouse
MAL12_YEAST	P53341	CHEMBL2932	Alpha-glucosidase MAL12, Yeast
MAL32_YEAST	P38158	CHEMBL3950	Alpha-glucosidase MAL32, Yeast
MAL62_YEASX	P07265	CHEMBL4357	Alpha-glucosidase MAL62, Yeasx
MALX3_YEAST	P53051	CHEMBL5848	Oligo-1,6-glucosidase, Yeast
MANBA_HUMAN	O00462	CHEMBL3903	Beta-mannosidase, Human
MANBA_RAT	Q4FZV0	CHEMBL3431	Beta-mannosidase, Rat
MANR_PSEPU	P11444	CHEMBL4739	Mandelate Racemase, Psepu
MAOX_HUMAN	P48163	CHEMBL3495	NADP-dependent Malic Enzyme, Human
MAPK2_HUMAN	P49137	CHEMBL2208	MAP Kinase-activated Protein Kinase 2, Human
MAPK3_HUMAN	Q16644	CHEMBL4670	MAP Kinase-activated Protein Kinase 3, Human
MAPK5_HUMAN	Q8IW41	CHEMBL3094	MAP Kinase-activated Protein Kinase 5, Human
MARK1_HUMAN	Q9P0L2	CHEMBL5940	Serine/threonine-protein Kinase MARK1, Human
MARK2_HUMAN	Q7KZI7	CHEMBL3831	MAP/microtubule Affinity-regulating Kinase 2, Human
MARK3_HUMAN	P27448	CHEMBL5600	Serine/threonine-protein Kinase C-TAK1, Human
MARK4_HUMAN	Q96L34	CHEMBL5754	MAP/microtubule Affinity-regulating Kinase 4, Human
MAST1_HUMAN	Q9Y2H9	CHEMBL1163128	Microtubule-associated Serine/threonine-protein Kinase 1, Human
MAT1_HUMAN	P51948	CHEMBL5053	CDK-activating Kinase Assembly Factor MAT1, Human
MBTP1_HUMAN	Q14703	CHEMBL5916	Membrane-bound Transcription Factor Site-1 Protease, Human
MC3R_HUMAN	P41968	CHEMBL4644	Melanocortin Receptor 3, Human
MC3R_MOUSE	P33033	CHEMBL4774	Melanocortin Receptor 3, Mouse
MC3R_RAT	P32244	CHEMBL4023	Melanocortin Receptor 3, Rat
MC4R_HUMAN	P32245	CHEMBL259	Melanocortin Receptor 4, Human
MC4R_MOUSE	P56450	CHEMBL3719	Melanocortin Receptor 4, Mouse
MC4R_RAT	P70596	CHEMBL2700	Melanocortin Receptor 4, Rat
MC5R_HUMAN	P33032	CHEMBL4608	Melanocortin Receptor 5, Human
MC5R_MOUSE	P41149	CHEMBL4489	Melanocortin Receptor 5, Mouse
MC5R_RAT	P35345	CHEMBL2701	Melanocortin Receptor 5, Rat
MCHR1_HUMAN	Q99705	CHEMBL344	Melanin-concentrating Hormone Receptor 1, Human
MCHR1_MOUSE	Q8JZL2	CHEMBL4730	Melanin-concentrating Hormone Receptor 1, Mouse
MCHR1_RAT	P97639	CHEMBL1075228	Melanin-concentrating Hormone Receptor 1, Rat
MCHR2_HUMAN	Q969V1	CHEMBL5038	Melanin-concentrating Hormone Receptor 2, Human
MCL1_HUMAN	Q07820	CHEMBL4361	Induced Myeloid Leukemia Cell Differentiation Protein Mcl-1, Human
MCL1_MOUSE	P97287	CHEMBL5768	Induced Myeloid Leukemia Cell Differentiation Protein Mcl-1 Homolog, Mouse
MCPT9_MOUSE	O35164	CHEMBL2132	Mast Cell Protease 9, Mouse
MCR_HUMAN	P08235	CHEMBL1994	Mineralocorticoid Receptor, Human
MCR_RAT	P22199	CHEMBL3507	Mineralocorticoid Receptor, Rat
MDHC_HUMAN	P40925	CHEMBL3560	Malate Dehydrogenase Cytoplasmic, Human
MDHC_PIG	P11708	CHEMBL4048	Malate Dehydrogenase Cytoplasmic, Pig
MDHM_HUMAN	P40926	CHEMBL5917	Malate Dehydrogenase, Mitochondrial, Human
MDHM_PIG	P00346	CHEMBL3444	Malate Dehydrogenase Mitochondrial, Pig
MDH_THETH	P10584	CHEMBL4255	Malate Dehydrogenase, Theth
MDM2_HUMAN	Q00987	CHEMBL5023	P53-binding Protein Mdm-2, Human
MDR1_HUMAN	P08183	CHEMBL4302	P-glycoprotein 1, Human
MDR1_MOUSE	P06795	CHEMBL3467	P-glycoprotein 1, Mouse
MDR2_MOUSE	P21440	CHEMBL2837	P-glycoprotein 2, Mouse
MDR3_MOUSE	P21447	CHEMBL2573	P-glycoprotein 3, Mouse
MDTK_ECOLI	P37340	CHEMBL1681613	Multidrug Resistance Protein MdtK, Ecoli
MED23_HUMAN	Q9ULK4	CHEMBL4146	Vitamin D3 Receptor-interacting Protein, Human
MELK_HUMAN	Q14680	CHEMBL4578	Maternal Embryonic Leucine Zipper Kinase, Human
MENB_MYCTU	O06414	CHEMBL1275214	1,4-Dihydroxy-2-naphthoyl-CoA Synthase, Myctu
MERTK_HUMAN	Q12866	CHEMBL5331	Proto-oncogene Tyrosine-protein Kinase MER, Human
METC_ECOLI	P06721	CHEMBL1075079	Cystathionine Beta-lyase MetC, Ecoli
METK1_RAT	P13444	CHEMBL2195	S-adenosylmethionine Synthetase Alpha And Beta Forms, Rat
METK2_RAT	P18298	CHEMBL2838	S-adenosylmethionine Synthetase Gamma Form, Rat
MET_HUMAN	P08581	CHEMBL3717	Hepatocyte Growth Factor Receptor, Human
