From	To	Species	Gene Name
MA2A2_HUMAN	779341	Homo sapiens	mannosidase, alpha, class 2A, member 2
Q49PX0_9POXV	342205	Vaccinia virus	temporal expression: early/late
NK1R_CAVPO	373780	Cavia porcellus	tachykinin receptor 1
MDTK_ECOLI	5284730	Escherichia coli	Multidrug resistance protein mdtK
Q2XPY6_SALET	3337606	Salmonella enterica	pWES1_006
Q97R43_STRPN	4588586	Streptococcus pneumoniae	SP_0991
PPARA_MOUSE	477904	Mus musculus	peroxisome proliferator activated receptor alpha
TMPS6_HUMAN	795747	Homo sapiens	transmembrane protease, serine 6
TGFB1_HUMAN	794775	Homo sapiens	transforming growth factor, beta 1
P96878_MYCTU	4104268	Mycobacterium tuberculosis	Rv3273
P96878_MYCTU	4090831	Mycobacterium tuberculosis	MT3373
MAPK5_HUMAN	798879	Homo sapiens	mitogen-activated protein kinase-activated protein kinase 5
SC6A1_RAT	412649	Rattus norvegicus	solute carrier family 6 (neurotransmitter transporter, GABA), member 1
LGUL_HUMAN	812523	Homo sapiens	glyoxalase I
ST32C_HUMAN	783563	Homo sapiens	serine/threonine kinase 32C
PYGL_MOUSE	455286	Mus musculus	liver glycogen phosphorylase
XPP2_HUMAN	781184	Homo sapiens	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound
MMP15_HUMAN	779749	Homo sapiens	matrix metallopeptidase 15 (membrane-inserted)
T23O_RAT	414844	Rattus norvegicus	tryptophan 2,3-dioxygenase
NR4A2_HUMAN	810691	Homo sapiens	nuclear receptor subfamily 4, group A, member 2
NALD2_HUMAN	814519	Homo sapiens	N-acetylated alpha-linked acidic dipeptidase 2
PA2GE_HUMAN	799632	Homo sapiens	phospholipase A2, group IIE
UROK_PIG	614791	Sus scrofa	plasminogen activator
RIPK2_HUMAN	778359	Homo sapiens	receptor-interacting serine-threonine kinase 2
PTPA_HUMAN	803949	Homo sapiens	protein phosphatase 2A activator, regulatory subunit 4
Q2PCB5_DICLA	6750380	Dicentrarchus labrax	ca
ROCK2_RAT	404077	Rattus norvegicus	Rho-associated coiled-coil containing protein kinase 2
PCP_MOUSE	469505	Mus musculus	prolylcarboxypeptidase (angiotensinase C)
RPOB_ECOLI	5288949	Escherichia coli	DNA-directed RNA polymerase subunit beta
KPCD_RAT	411985	Rattus norvegicus	protein kinase C, delta
OPRX_HUMAN	814876	Homo sapiens	opiate receptor-like 1
KCNA1_HUMAN	820860	Homo sapiens	potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)
PLCG1_BOVIN	582215	Bos taurus	phospholipase C, gamma 1
PE2R4_HUMAN	792909	Homo sapiens	prostaglandin E receptor 4 (subtype EP4)
KCC2A_RAT	392381	Rattus norvegicus	calcium/calmodulin-dependent protein kinase II alpha
OPRM_BOVIN	590041	Bos taurus	opioid receptor, mu 1
LOX5_RAT	416035	Rattus norvegicus	arachidonate 5-lipoxygenase
KPCL_HUMAN	774932	Homo sapiens	protein kinase C, eta
PA2G5_HUMAN	807209	Homo sapiens	phospholipase A2, group V
OPRK_HUMAN	775025	Homo sapiens	opioid receptor, kappa 1
MYLK3_HUMAN	783947	Homo sapiens	myosin light chain kinase 3
PDE6C_HUMAN	819852	Homo sapiens	phosphodiesterase 6C, cGMP-specific, cone, alpha prime
TBG1_RAT	389845	Rattus norvegicus	tubulin, gamma 1
S22A6_RAT	418068	Rattus norvegicus	solute carrier family 22 (organic anion transporter), member 6
NU4M_HUMAN	778125	Homo sapiens	NADH-ubiquinone oxidoreductase chain 4L; NADH-ubiquinone oxidoreductase chain 4
UD2B7_HUMAN	784591	Homo sapiens	UDP glucuronosyltransferase 2 family, polypeptide B7
SHH_HUMAN	781622	Homo sapiens	sonic hedgehog homolog (Drosophila)
TRXR2_HUMAN	825874	Homo sapiens	thioredoxin reductase 2
M3K4_HUMAN	814980	Homo sapiens	mitogen-activated protein kinase kinase kinase 4
VDR_HUMAN	773078	Homo sapiens	vitamin D (1,25- dihydroxyvitamin D3) receptor
KPCB_HUMAN	826624	Homo sapiens	protein kinase C, beta
PTN6_HUMAN	776776	Homo sapiens	protein tyrosine phosphatase, non-receptor type 6
MA2A1_RAT	414881	Rattus norvegicus	mannosidase, alpha, class 2A, member 1
Q99MA2_RAT	417036	Rattus norvegicus	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound
SCNAA_RAT	392163	Rattus norvegicus	sodium channel, voltage-gated, type X, alpha subunit
LYSC1_RAT	409502	Rattus norvegicus	lysozyme 2; lysozyme C type 2
TAB1_HUMAN	809231	Homo sapiens	mitogen-activated protein kinase kinase kinase 7 interacting protein 1
S6A12_RAT	398732	Rattus norvegicus	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12
PNPH_HUMAN	785066	Homo sapiens	nucleoside phosphorylase
S1PR2_HUMAN	778389	Homo sapiens	sphingosine-1-phosphate receptor 2
PTN7_HUMAN	794970	Homo sapiens	protein tyrosine phosphatase, non-receptor type 7
KCNQ1_HUMAN	820235	Homo sapiens	potassium voltage-gated channel, KQT-like subfamily, member 1
Q9R297_RAT	384773	Rattus norvegicus	thyrotropin releasing hormone receptor 2
SC5AB_HUMAN	780157	Homo sapiens	solute carrier family 5 (sodium/glucose cotransporter), member 11
RXRG_HUMAN	825302	Homo sapiens	retinoid X receptor, gamma
PCSK7_HUMAN	818602	Homo sapiens	proprotein convertase subtilisin/kexin type 7 pseudogene; proprotein convertase subtilisin/kexin type 7
NADE_BACAN	4483690	Bacillus anthracis	NH(3)-dependent NAD(+) synthetase
MYLK4_HUMAN	814897	Homo sapiens	myosin light chain kinase family, member 4
PE2R2_HUMAN	772244	Homo sapiens	prostaglandin E receptor 2 (subtype EP2), 53kDa
TEC_HUMAN	773608	Homo sapiens	tec protein tyrosine kinase
LPAR1_HUMAN	819612	Homo sapiens	lysophosphatidic acid receptor 1
SRC_HUMAN	816167	Homo sapiens	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)
RET5_HUMAN	791913	Homo sapiens	retinol binding protein 5, cellular
SGPL1_MOUSE	439712	Mus musculus	sphingosine phosphate lyase 1
MC3R_RAT	414013	Rattus norvegicus	melanocortin 3 receptor
TOP1_RAT	416233	Rattus norvegicus	topoisomerase (DNA) I
TBB2B_RAT	385687	Rattus norvegicus	tubulin, beta 2b
SSR1_HUMAN	782635	Homo sapiens	somatostatin receptor 1
SYIC_HUMAN	800451	Homo sapiens	isoleucyl-tRNA synthetase
RAC1_HUMAN	809484	Homo sapiens	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)
LX12L_RAT	391567	Rattus norvegicus	arachidonate 15-lipoxygenase
KPCG_RAT	413094	Rattus norvegicus	protein kinase C, gamma
UCHL3_HUMAN	814894	Homo sapiens	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
ROCK1_HUMAN	813804	Homo sapiens	similar to Rho-associated, coiled-coil containing protein kinase 1; Rho-associated, coiled-coil containing protein kinase 1
KKCC2_HUMAN	821962	Homo sapiens	calcium/calmodulin-dependent protein kinase kinase 2, beta
Q6JP75_SERFO	6600624	Serratia fonticola	Carbapenem-hydrolizing beta-lactamase SFC-1
RXRA_HUMAN	794129	Homo sapiens	retinoid X receptor, alpha
THYX_PBCV1	291450	Paramecium bursaria Chlorella virus 1	Probable thymidylate synthase
S1PR1_HUMAN	774947	Homo sapiens	sphingosine-1-phosphate receptor 1
PDE10_HUMAN	815173	Homo sapiens	phosphodiesterase 10A
TP4A1_HUMAN	799458	Homo sapiens	protein tyrosine phosphatase type IVA, member 1
NMD3B_HUMAN	783207	Homo sapiens	glutamate receptor, ionotropic, N-methyl-D-aspartate 3B
VDAC2_HUMAN	785721	Homo sapiens	voltage-dependent anion channel 2
Q4WNT5_ASPFU	3003916	Aspergillus fumigatus	AFUA_4G06890
LT4R1_HUMAN	784882	Homo sapiens	leukotriene B4 receptor
PPCE_RAT	385985	Rattus norvegicus	prolyl endopeptidase
MARK1_HUMAN	772841	Homo sapiens	MAP/microtubule affinity-regulating kinase 1
PDE5A_HUMAN	803372	Homo sapiens	phosphodiesterase 5A, cGMP-specific
TDT_HUMAN	823551	Homo sapiens	deoxynucleotidyltransferase, terminal
Q80T43_MOUSE	479914	Mus musculus	glutamate receptor, metabotropic 2
M3K15_HUMAN	810801	Homo sapiens	mitogen-activated protein kinase kinase kinase 15
PI42B_HUMAN	783585	Homo sapiens	phosphatidylinositol-5-phosphate 4-kinase, type II, beta
TRXR2_RAT	416431	Rattus norvegicus	thioredoxin reductase 2
PIM2_HUMAN	812177	Homo sapiens	pim-2 oncogene
S10AA_HUMAN	772988	Homo sapiens	S100 calcium binding protein A10
LT4R2_HUMAN	815670	Homo sapiens	leukotriene B4 receptor 2
PDE4D_RAT	384571	Rattus norvegicus	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)
KC1G3_HUMAN	820041	Homo sapiens	casein kinase 1, gamma 3
UPP1_MOUSE	438857	Mus musculus	uridine phosphorylase 1
S22AC_HUMAN	782685	Homo sapiens	solute carrier family 22 (organic anion/urate transporter), member 12
TNK1_HUMAN	798805	Homo sapiens	tyrosine kinase, non-receptor, 1
TXK_HUMAN	810008	Homo sapiens	TXK tyrosine kinase
KITH_HUMAN	778157	Homo sapiens	thymidine kinase 1, soluble
PTGDS_BOVIN	582837	Bos taurus	prostaglandin D2 synthase 21kDa (brain)
NUAK2_HUMAN	774981	Homo sapiens	NUAK family, SNF1-like kinase, 2
NAMPT_HUMAN	799740	Homo sapiens	nicotinamide phosphoribosyltransferase
PPBT_RAT	391574	Rattus norvegicus	alkaline phosphatase, liver/bone/kidney
KS6A6_HUMAN	792741	Homo sapiens	ribosomal protein S6 kinase, 90kDa, polypeptide 6
KGP1_BOVIN	593241	Bos taurus	protein kinase, cGMP-dependent, type I
RXRB_MOUSE	438345	Mus musculus	retinoid X receptor beta
PDE1B_BOVIN	594903	Bos taurus	phosphodiesterase 1B, calmodulin-dependent
MRCKB_HUMAN	777170	Homo sapiens	CDC42 binding protein kinase beta (DMPK-like)
RORA_HUMAN	816196	Homo sapiens	RAR-related orphan receptor A
M3K9_HUMAN	786857	Homo sapiens	mitogen-activated protein kinase kinase kinase 9
M3K10_HUMAN	821766	Homo sapiens	mitogen-activated protein kinase kinase kinase 10
NEUR1_HUMAN	807305	Homo sapiens	sialidase 1 (lysosomal sialidase)
KC1E_MOUSE	446731	Mus musculus	casein kinase 1, epsilon
PAO_MAIZE	3242780	Zea mays	polyamine oxidase1
T23O_MOUSE	462473	Mus musculus	tryptophan 2,3-dioxygenase
PDE8A_HUMAN	787446	Homo sapiens	phosphodiesterase 8A
MP2K7_HUMAN	794430	Homo sapiens	mitogen-activated protein kinase kinase 7
PRTN3_MOUSE	469080	Mus musculus	proteinase 3
Q80T47_MOUSE	461127	Mus musculus	glutamate receptor, metabotropic 5
MKNK2_HUMAN	813888	Homo sapiens	MAP kinase interacting serine/threonine kinase 2
OXDA_PIG	616011	Sus scrofa	D-amino acid oxidase
PCSK6_HUMAN	793873	Homo sapiens	proprotein convertase subtilisin/kexin type 6
NK1R_MOUSE	469109	Mus musculus	tachykinin receptor 1
Q64546_RAT	385550	Rattus norvegicus	cytochrome P450, subfamily 11B, polypeptide 3
Q8CFB8_MOUSE	472427	Mus musculus	poly (ADP-ribose) polymerase family, member 3
VMAT2_RAT	391806	Rattus norvegicus	solute carrier family 18 (vesicular monoamine), member 2
STS_HUMAN	802701	Homo sapiens	steroid sulfatase (microsomal), isozyme S
VMAT2_BOVIN	595873	Bos taurus	solute carrier family 18 (vesicular monoamine), member 2
SCN5A_RAT	416651	Rattus norvegicus	sodium channel, voltage-gated, type V, alpha subunit
PD2R_HUMAN	775234	Homo sapiens	prostaglandin D2 receptor (DP)
Q8HZR1_CANFA	762657	Canis lupus	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
NR5A2_HUMAN	807162	Homo sapiens	nuclear receptor subfamily 5, group A, member 2
TYSY_RAT	383126	Rattus norvegicus	thymidylate synthetase
Q81VW8_BACAN	4466308	Bacillus anthracis	BAS0071
Q81VW8_BACAN	4470986	Bacillus anthracis	GBAA0071; BA0071; BAMEG_0084; BAA_0084
TERT_HUMAN	807490	Homo sapiens	telomerase reverse transcriptase
TRY2_HUMAN	809633	Homo sapiens	protease, serine, 2 (trypsin 2)
NPCL1_RAT	409890	Rattus norvegicus	NPC1 (Niemann-Pick disease, type C1, gene)-like 1
P4K2B_HUMAN	795522	Homo sapiens	phosphatidylinositol 4-kinase type 2 beta
PLCL1_RAT	401827	Rattus norvegicus	phospholipase C-like 1
S6A13_RAT	380965	Rattus norvegicus	solute carrier family 6 (neurotransmitter transporter, GABA), member 13
PA2_APIME	1791768	Apis mellifera	phospholipase A2
KCC2A_MOUSE	463417	Mus musculus	calcium/calmodulin-dependent protein kinase II alpha
NRAM_INBLE	89959	Influenza B virus	Neuraminidase
MMP2_HUMAN	798126	Homo sapiens	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
OXSR1_HUMAN	821088	Homo sapiens	oxidative-stress responsive 1
NEUR4_HUMAN	783703	Homo sapiens	sialidase 4
Q6FTL6_CANGA	2811465	Candida glabrata	CAGL0G01540g
NDUA4_HUMAN	781976	Homo sapiens	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa
S22AK_MOUSE	426428	Mus musculus	solute carrier family 22 (organic anion transporter), member 20
TSPOA_HUMAN	810158	Homo sapiens	translocator protein (18kDa)
NCEH1_HUMAN	818343	Homo sapiens	arylacetamide deacetylase-like 1
MP2K2_HUMAN	788724	Homo sapiens	mitogen-activated protein kinase kinase 2 pseudogene; mitogen-activated protein kinase kinase 2
MIF_HUMAN	798739	Homo sapiens	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
Q9EPR9_RAT	392531	Rattus norvegicus	phosphodiesterase 1A, calmodulin-dependent
M3K5_HUMAN	813913	Homo sapiens	mitogen-activated protein kinase kinase kinase 5
NISCH_RAT	380409	Rattus norvegicus	nischarin
PI4KB_HUMAN	787406	Homo sapiens	phosphatidylinositol 4-kinase, catalytic, beta
ROCK2_HUMAN	807456	Homo sapiens	Rho-associated, coiled-coil containing protein kinase 2
STAT6_HUMAN	817602	Homo sapiens	signal transducer and activator of transcription 6, interleukin-4 induced
TSPOB_HUMAN	810158	Homo sapiens	translocator protein (18kDa)
PGH1_HUMAN	814769	Homo sapiens	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
NMDE2_RAT	409173	Rattus norvegicus	glutamate receptor, ionotropic, N-methyl D-aspartate 2B
PDE3A_RAT	400379	Rattus norvegicus	phosphodiesterase 3A, cGMP inhibited
MOT1_HUMAN	784645	Homo sapiens	solute carrier family 16, member 1 (monocarboxylic acid transporter 1)
NEP_MOUSE	477912	Mus musculus	membrane metallo endopeptidase
SETD7_HUMAN	782476	Homo sapiens	SET domain containing (lysine methyltransferase) 7
TRY1_HUMAN	773661	Homo sapiens	protease, serine, 1 (trypsin 1); trypsinogen C
P2RY1_HUMAN	803068	Homo sapiens	purinergic receptor P2Y, G-protein coupled, 1
PA2GD_HUMAN	807950	Homo sapiens	phospholipase A2, group IID
TYSY_ENTFA	4505734	Enterococcus faecalis	Thymidylate synthase
MYLK2_HUMAN	802089	Homo sapiens	myosin light chain kinase 2
TYDP1_HUMAN	825018	Homo sapiens	tyrosyl-DNA phosphodiesterase 1
MRP1_HUMAN	812322	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
MK11_MOUSE	439590	Mus musculus	mitogen-activated protein kinase 11
KSYK_RAT	395466	Rattus norvegicus	spleen tyrosine kinase
PHKG2_HUMAN	781273	Homo sapiens	phosphorylase kinase, gamma 2 (testis)
TIE1_HUMAN	802929	Homo sapiens	tyrosine kinase with immunoglobulin-like and EGF-like domains 1
MC5R_HUMAN	817162	Homo sapiens	melanocortin 5 receptor
PE2R1_MOUSE	463159	Mus musculus	prostaglandin E receptor 1 (subtype EP1)
PDE6B_HUMAN	807165	Homo sapiens	phosphodiesterase 6B, cGMP-specific, rod, beta
ZAP70_HUMAN	810315	Homo sapiens	zeta-chain (TCR) associated protein kinase 70kDa
TRFR_MOUSE	436560	Mus musculus	thyrotropin releasing hormone receptor
PLK1_HUMAN	777240	Homo sapiens	polo-like kinase 1 (Drosophila)
P3C2A_HUMAN	813649	Homo sapiens	phosphoinositide-3-kinase, class 2, alpha polypeptide
PKR1_HUMAN	804235	Homo sapiens	prokineticin receptor 1
KPCL_MOUSE	469350	Mus musculus	protein kinase C, eta
Q9QXI6_MOUSE	426946	Mus musculus	solute carrier family 5 (sodium/glucose cotransporter), member 1
XCT_HUMAN	809324	Homo sapiens	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
Q7T3S7_ECHCA	6642614	Echis carinatus	Phospholipase A2
MMP12_HUMAN	783694	Homo sapiens	matrix metallopeptidase 12 (macrophage elastase)
MT3_HUMAN	816552	Homo sapiens	metallothionein 3
SC5A7_MOUSE	451294	Mus musculus	solute carrier family 5 (choline transporter), member 7
KS6A3_HUMAN	801005	Homo sapiens	ribosomal protein S6 kinase, 90kDa, polypeptide 3
SOAT2_RAT	414538	Rattus norvegicus	sterol O-acyltransferase 2
LCK_HUMAN	806832	Homo sapiens	lymphocyte-specific protein tyrosine kinase
Q95WR6_LEIDO	6792975	Leishmania donovani	Q95WR6_LEIDO
PDE4C_HUMAN	805830	Homo sapiens	phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila)
PE2R2_RAT	390227	Rattus norvegicus	prostaglandin E receptor 2, subtype EP2
KIT_HUMAN	793566	Homo sapiens	similar to Mast/stem cell growth factor receptor precursor (SCFR) (Proto-oncogene tyrosine-protein kinase Kit) (c-kit) (CD117 antigen); v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
TPA_HUMAN	817326	Homo sapiens	plasminogen activator, tissue
MTLR_HUMAN	784706	Homo sapiens	motilin receptor
Q964Q8_TRYCR	2724317	Trypanosoma cruzi	Tc00.1047053509445.30
KC1G1_HUMAN	776880	Homo sapiens	casein kinase 1, gamma 1
MYO3A_HUMAN	781145	Homo sapiens	myosin IIIA
PF2R_MOUSE	449661	Mus musculus	prostaglandin F receptor
MERTK_HUMAN	811499	Homo sapiens	c-mer proto-oncogene tyrosine kinase
PDE5A_RAT	407374	Rattus norvegicus	phosphodiesterase 5A, cGMP-specific
TBK1_HUMAN	787047	Homo sapiens	TANK-binding kinase 1
OXDD_HUMAN	796967	Homo sapiens	D-aspartate oxidase
PYRD_MOUSE	429836	Mus musculus	dihydroorotate dehydrogenase
Q9ERC0_RAT	416054	Rattus norvegicus	neuropeptide Y receptor Y2
PLK2_HUMAN	823579	Homo sapiens	polo-like kinase 2 (Drosophila)
NK1R_RAT	394634	Rattus norvegicus	tachykinin receptor 1
KS6A1_HUMAN	825662	Homo sapiens	ribosomal protein S6 kinase, 90kDa, polypeptide 1
PACR_HUMAN	787707	Homo sapiens	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
TRYB1_HUMAN	784510	Homo sapiens	tryptase alpha/beta 1; tryptase beta 2
SCN2A_HUMAN	785172	Homo sapiens	sodium channel, voltage-gated, type II, alpha subunit
LIPE_HUMAN	819739	Homo sapiens	lipase, endothelial
SCN1A_RAT	397333	Rattus norvegicus	sodium channel, voltage-gated, type I, alpha
SC6A4_RAT	380419	Rattus norvegicus	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
MKNK1_HUMAN	808835	Homo sapiens	MAP kinase interacting serine/threonine kinase 1
KLK4_HUMAN	775119	Homo sapiens	kallikrein-related peptidase 4
TYTR_CRIFA	6793307	Crithidia fasciculata	Trypanothione reductase
PP1A_HUMAN	786351	Homo sapiens	protein phosphatase 1, catalytic subunit, alpha isoform
PDE1C_RAT	392365	Rattus norvegicus	phosphodiesterase 1C
PDYN_HUMAN	790395	Homo sapiens	prodynorphin
V1BR_HUMAN	811038	Homo sapiens	arginine vasopressin receptor 1B
PAFA_HUMAN	807695	Homo sapiens	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)
PTN12_HUMAN	793370	Homo sapiens	protein tyrosine phosphatase, non-receptor type 12
Q8VBU5_MOUSE	439731	Mus musculus	phosphodiesterase 4B, cAMP specific
STK35_HUMAN	808941	Homo sapiens	serine/threonine kinase 35
NEMO_HUMAN	811245	Homo sapiens	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma
MK13_HUMAN	819930	Homo sapiens	mitogen-activated protein kinase 13
PA2GC_HUMAN	820414	Homo sapiens	phospholipase A2, group IIC
KCC2B_MOUSE	465786	Mus musculus	calcium/calmodulin-dependent protein kinase II, beta
LX15B_RAT	395896	Rattus norvegicus	arachidonate 15-lipoxygenase, type B
SC6A2_HUMAN	826507	Homo sapiens	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
KPCD2_HUMAN	808055	Homo sapiens	protein kinase D2
NTRK2_HUMAN	774180	Homo sapiens	neurotrophic tyrosine kinase, receptor, type 2
NU6M_HUMAN	779647	Homo sapiens	NADH-ubiquinone oxidoreductase chain 6
VGFR3_MOUSE	437215	Mus musculus	FMS-like tyrosine kinase 4
NAAA_HUMAN	785067	Homo sapiens	N-acylethanolamine acid amidase
TNFB_HUMAN	818195	Homo sapiens	lymphotoxin alpha (TNF superfamily, member 1)
RNH1_HUMAN	826244	Homo sapiens	ribonuclease H1
LYN_HUMAN	826833	Homo sapiens	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
S6A11_HUMAN	810710	Homo sapiens	solute carrier family 6 (neurotransmitter transporter, GABA), member 11
TRAR_RHIRD	5524636	Agrobacterium tumefaciens	Transcriptional activator protein traR
RET4_HUMAN	816842	Homo sapiens	retinol binding protein 4, plasma
LIMK2_HUMAN	821873	Homo sapiens	LIM domain kinase 2
PPARG_MOUSE	459227	Mus musculus	peroxisome proliferator activated receptor gamma
TBA4A_HUMAN	826978	Homo sapiens	tubulin, alpha 4a
TOP2B_HUMAN	783488	Homo sapiens	topoisomerase (DNA) II beta 180kDa
RON_HUMAN	779614	Homo sapiens	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
UNG_HUMAN	801318	Homo sapiens	uracil-DNA glycosylase
OPRD_RAT	409846	Rattus norvegicus	opioid receptor, delta 1
KLK6_HUMAN	779041	Homo sapiens	kallikrein-related peptidase 6
MK08_RAT	392541	Rattus norvegicus	mitogen-activated protein kinase 8
PE2R3_MOUSE	449292	Mus musculus	prostaglandin E receptor 3 (subtype EP3)
NEK1_HUMAN	817785	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 1
NDUS2_HUMAN	802436	Homo sapiens	NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)
PBPX_STRPN	4582902	Streptococcus pneumoniae	Penicillin-binding protein 2x
NEK9_HUMAN	821660	Homo sapiens	NIMA (never in mitosis gene a)- related kinase 9
NDUAA_HUMAN	777101	Homo sapiens	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa
Q9XSW7_PIG	613832	Sus scrofa	phosphodiesterase 3A, cGMP-inhibited
MURA_ECOLI	5291280	Escherichia coli	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
PDE4A_MOUSE	468899	Mus musculus	phosphodiesterase 4A, cAMP specific
VDR_BOVIN	589195	Bos taurus	vitamin D (1,25- dihydroxyvitamin D3) receptor
TGT_ZYMMO	5315604	Zymomonas mobilis	Queuine tRNA-ribosyltransferase
Q9JN24_ECOLX	5275125	Escherichia coli	Peptide deformylase
Q6W9J1_ENTCL	5309138	Enterobacter cloacae	pEC-IMP_110
Q6W9J1_ENTCL	5308933	Enterobacter cloacae	pEC-IMPQ_109
RXRA_RAT	396765	Rattus norvegicus	retinoid X receptor alpha
PP2AB_HUMAN	779885	Homo sapiens	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform
ULK2_HUMAN	818685	Homo sapiens	unc-51-like kinase 2 (C. elegans)
PA2GA_HUMAN	811819	Homo sapiens	phospholipase A2, group IIA (platelets, synovial fluid)
TPP2_HUMAN	812052	Homo sapiens	tripeptidyl peptidase II
PA2GF_HUMAN	775831	Homo sapiens	phospholipase A2, group IIF
NOS2_MOUSE	426011	Mus musculus	nitric oxide synthase 2, inducible
RET2_HUMAN	822583	Homo sapiens	retinol binding protein 2, cellular
MA122_DROME	1982759	Drosophila melanogaster	alpha Mannosidase I
PAK4_HUMAN	824374	Homo sapiens	p21 protein (Cdc42/Rac)-activated kinase 4
MK09_HUMAN	783020	Homo sapiens	mitogen-activated protein kinase 9
MLTK_HUMAN	796129	Homo sapiens	sterile alpha motif and leucine zipper containing kinase AZK
PDE1A_BOVIN	582880	Bos taurus	phosphodiesterase 1A, calmodulin-dependent
LGUL_YEAST	3124670	Saccharomyces cerevisiae	Lactoylglutathione lyase
PCKGC_HUMAN	786278	Homo sapiens	phosphoenolpyruvate carboxykinase 1 (soluble)
ST38L_HUMAN	775765	Homo sapiens	serine/threonine kinase 38 like
MMP9_HUMAN	819926	Homo sapiens	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)
MK10_HUMAN	824323	Homo sapiens	mitogen-activated protein kinase 10
MA2B1_HUMAN	784989	Homo sapiens	mannosidase, alpha, class 2B, member 1
LMBL1_HUMAN	802164	Homo sapiens	l(3)mbt-like (Drosophila)
P85B_HUMAN	793353	Homo sapiens	phosphoinositide-3-kinase, regulatory subunit 2 (beta)
Q0VTR6_ACIG3	6599576	Acinetobacter genomosp. 3	adc-14
PYGM_RABIT	537900	Oryctolagus cuniculus	phosphorylase, glycogen, muscle
Q9FBC5_STRPN	4581337	Streptococcus pneumoniae	SP_0419
PA2GF_MOUSE	454260	Mus musculus	phospholipase A2, group IIF
NQO1_HUMAN	781597	Homo sapiens	NAD(P)H dehydrogenase, quinone 1
RARA_HUMAN	810176	Homo sapiens	retinoic acid receptor, alpha
LATS2_HUMAN	792374	Homo sapiens	LATS, large tumor suppressor, homolog 2 (Drosophila)
P85A_HUMAN	806420	Homo sapiens	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)
KC1D_HUMAN	814527	Homo sapiens	casein kinase 1, delta
Q9EXV5_ECOLX	5258830	Escherichia coli	pC15-1a_016
VGFR2_MOUSE	432000	Mus musculus	kinase insert domain protein receptor
KITH_RAT	410502	Rattus norvegicus	thymidine kinase 1, soluble
MMP26_HUMAN	782732	Homo sapiens	matrix metallopeptidase 26
PTPRB_HUMAN	805736	Homo sapiens	protein tyrosine phosphatase, receptor type, B
NEK2_HUMAN	791562	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 2
Q499N1_RAT	381595	Rattus norvegicus	retinoic acid receptor, alpha
RY44_DROME	1975653	Drosophila melanogaster	Ryanodine receptor 44F
PTPRA_HUMAN	793588	Homo sapiens	protein tyrosine phosphatase, receptor type, A
MC4R_MOUSE	478880	Mus musculus	melanocortin 4 receptor
NMD3B_RAT	391298	Rattus norvegicus	glutamate receptor, ionotropic, N-methyl-D-aspartate 3B
TRBP2_HUMAN	784501	Homo sapiens	TAR (HIV-1) RNA binding protein 2
OXDA_HUMAN	808761	Homo sapiens	D-amino-acid oxidase
PE2R1_RAT	403453	Rattus norvegicus	prostaglandin E receptor 1 (subtype EP1)
PTAFR_RAT	391410	Rattus norvegicus	platelet-activating factor receptor
Q2TJZ7_PIG	618067	Sus scrofa	microsomal prostaglandin E synthase-1
PLCG2_HUMAN	808494	Homo sapiens	phospholipase C, gamma 2 (phosphatidylinositol-specific)
